ACCTAGE,DDA,DDABAL,DEP,DEPAMT,CASHBK,CHECKS,DIRDEP,NSF,NSFAMT,PHONE,TELLER,SAV,SAVBAL,ATM,ATMAMT,POS,POSAMT,CD,CDBAL,IRA,IRABAL,LOC,LOCBAL,INV,INVBAL,ILS,ILSBAL,MM,MMBAL,MMCRED,MTG,MTGBAL,CC,CCBAL,CCPURC,SDB,INCOME,HMOWN,LORES,HMVAL,AGE,CRSCORE,MOVED,INAREA,INS,BRANCH,RES
2.5,1,56.29,2,955.51,0,1,0,0,0,3,0,0,0,1,1844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,8,106,49,675,0,1,,B12,U
5.5,1,3292.17,2,961.6,0,1,0,0,0,0,0,0,0,1,1391.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1,8.5,129,33,593,1,1,,B7,U
3.7,1,1723.86,2,2108.65,0,2,0,0,0,0,0,0,0,1,2480.03,3,212.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,0,3.5,98,53,742,0,1,,B5,U
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10063.58551,1,15132.227,1,0,0,1,75199.74,0,0,25,0,6,103,48,601,0,1,,B1,U
14.6,1,67.91,2,519.24,0,3,0,0,0,0,1,0,0,1,462.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38,0,4.5,112,68,699,0,1,,B9,S
1.8,1,2554.58,1,501.36,0,2,1,0,0,0,0,1,1379.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.8,0,1,,,,,,701,0,1,,B2,S
,1,0,2,2883.08,0,12,0,0,0,0,1,1,9218.61,0,0,0,0,1,60900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4.5,86,57,622,0,1,,B1,R
3.9,1,2641.33,3,4521.61,0,8,0,0,0,0,6,0,0,1,360.54,8,389.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,617,0,1,,B2,S
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1281.71,0,0,0,0,0,0,1,15081.17432,0,0,0,0,0,0,0,,,,,,675,0,1,,B2,S
2.5,1,52.22,1,75.59,0,0,0,0,0,0,0,1,52.13,1,68.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,643,0,1,,B2,R
3,1,6163.29,2,2603.56,0,7,0,0,0,0,0,0,0,1,3209.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,9,102,65,636,0,1,,B5,U
1.1,1,431.12,2,568.43,1,2,0,1,3.44,0,3,0,0,1,488.2,5,41.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,696,0,1,,B2,R
5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15166.27177,1,0,0,1,274.29,1,0,40,1,13,104,27,634,0,1,,B1,S
3.4,1,112.82,8,2688.75,0,3,1,0,0,6,0,1,1058.77,1,4117.7,8,146.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,339.89,0,0,,,,,,641,0,1,,B3,U
3.9,1,1146.61,3,11224.2,0,2,0,0,0,0,1,0,0,1,11258.25,0,0,0,0,0,0,0,0,0,0,0,0,1,15805.80538,0,0,0,1,109.02,1,1,41,0,7,118,48,670,0,1,,B1,S
13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,4.5,108,36,604,0,1,,B1,S
2.5,1,1241.38,3,3538.14,0,15,1,0,0,0,5,1,955.14,1,188.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,11,95,57,695,0,1,,B5,U
5.7,1,298.23,0,0,0,0,0,0,0,0,1,1,292.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,4,112,47,614,0,1,,B12,S
3.6,1,367.04,2,4242.22,0,11,0,0,0,1,5,1,0,1,207.56,0,0,0,0,0,0,1,126068.01,0,0,0,0,0,0,0,0,0,1,137072.03,0,0,75,1,9.5,129,31,575,0,1,,B8,R
34.6,1,1229.47,4,3514.57,0,10,0,0,0,,2,0,0,1,3469.19,,,0,0,1,60.12,1,78730.64,,,1,10178.56861,0,0,0,0,0,,,,1,35,1,8,95,56,736,0,1,,B15,S
13.6,1,37.5,2,1334.17,0,3,0,0,0,,2,0,0,1,51.8,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,0,41,1,9,107,28,526,0,1,,B15,S
8.3,1,694.92,5,1984.23,0,7,1,0,0,1,0,0,0,1,1345.76,4,97.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,12,97,60,676,0,1,,B3,S
